iter	Passed	Remaining
0	117	117069
1	168	84277
2	227	75690
3	271	67722
4	319	63543
5	380	63102
6	439	62382
7	474	58888
8	512	56427
9	560	55531
10	605	54454
11	648	53352
12	692	52600
13	737	51915
14	779	51209
15	824	50712
16	867	50184
17	907	49500
18	953	49243
19	1001	49079
20	1071	49953
21	1137	50563
22	1182	50225
23	1226	49860
24	1272	49615
25	1313	49198
26	1362	49083
27	1401	48655
28	1447	48467
29	1500	48515
30	1566	48976
31	1620	49019
32	1668	48885
33	1716	48777
34	1756	48427
35	1782	47720
36	1822	47431
37	1865	47220
38	1909	47061
39	1955	46928
40	1997	46726
41	2040	46541
42	2089	46497
43	2118	46035
44	2148	45600
45	2191	45446
46	2233	45282
47	2281	45241
48	2333	45288
49	2371	45052
50	2407	44798
51	2454	44747
52	2501	44695
53	2545	44597
54	2582	44365
55	2626	44273
56	2676	44279
57	2714	44087
58	2757	43975
59	2799	43854
60	2837	43673
61	2878	43547
62	2917	43396
63	2954	43206
64	2994	43077
65	3033	42923
66	3072	42789
67	3115	42698
68	3159	42629
69	3198	42488
70	3241	42409
71	3283	42315
72	3315	42097
73	3356	41995
74	3391	41824
75	3431	41718
76	3477	41680
77	3518	41592
78	3557	41479
79	3594	41336
80	3637	41264
81	3683	41240
82	3727	41185
83	3770	41112
84	3813	41048
85	3861	41043
86	3897	40900
87	3939	40827
88	3988	40824
89	4022	40671
90	4070	40658
91	4118	40644
92	4158	40557
93	4200	40483
94	4240	40397
95	4287	40372
96	4337	40379
97	4382	40337
98	4420	40232
99	4463	40175
100	4508	40132
101	4552	40078
102	4594	40010
103	4636	39945
104	4679	39883
105	4724	39849
106	4771	39818
107	4819	39806
108	4866	39779
109	4911	39738
110	4953	39673
111	4999	39636
112	5045	39603
113	5082	39504
114	5132	39500
115	5179	39470
116	5225	39434
117	5266	39368
118	5316	39359
119	5364	39337
120	5411	39308
121	5456	39267
122	5500	39217
123	5532	39083
124	5581	39069
125	5624	39015
126	5670	38977
127	5712	38918
128	5759	38889
129	5807	38868
130	5854	38835
131	5890	38737
132	5916	38566
133	5965	38551
134	5996	38424
135	6043	38395
136	6090	38367
137	6135	38323
138	6182	38294
139	6228	38261
140	6274	38225
141	6326	38224
142	6367	38161
143	6405	38075
144	6445	38004
145	6487	37949
146	6532	37906
147	6575	37851
148	6626	37844
149	6667	37780
150	6700	37674
151	6748	37651
152	6797	37630
153	6844	37598
154	6890	37564
155	6936	37529
156	6979	37475
157	7028	37454
158	7071	37401
159	7117	37368
160	7164	37337
161	7205	37274
162	7250	37230
163	7297	37197
164	7336	37126
165	7379	37074
166	7426	37043
167	7466	36976
168	7513	36944
169	7556	36893
170	7607	36882
171	7656	36858
172	7704	36831
173	7747	36779
174	7790	36727
175	7825	36635
176	7872	36604
177	7917	36562
178	7961	36514
179	8007	36477
